"Vehicle","Type Of Service","Materials","Oil","Diesel Filter","Air Filter","Miles","Date","Cost"
"Peugeot","Breakdown","Interior heater changed topped up with 50% anti freeze mix",0,0,0,63933,"04/01/2000 00:00:00",
"Peugeot","General","Cam Belt changed, crankshaft oil seal replaced. Auxillary drive belt replaced.",1,0,0,63940,"05/01/2000 00:00:00",
"Peugeot","Routine",,1,0,1,65912,"20/04/2000 00:00:00",
"Peugeot","Breakdown","Water system pressurizeing head gasket blown bewteen 1 & 2 cylinders. Head surface ground water mark removed. Genuine parts purchased from Crystals fitted. Filled up with 50% antifreeze mixture water system bleed for air.",0,0,0,65970,"27/04/2000 00:00:00",
"Peugeot","Routine","MOT test every thing Ok requires two front tyres soon.",0,0,0,66066,"03/05/2000 00:00:00",
"Peugeot","Routine","2 front tyres £64.78",0,0,0,66460,"21/05/2000 00:00:00",
"Peugeot 205","Breakdown","Clutch cable broke changed. Oil change",1,0,0,92560,"03/05/2000 00:00:00",
"Peugeot","Routine","Changed at Wrawby",1,0,0,67751,"10/08/2000 00:00:00",
"Maestro Van","Breakdown","LHS rear wheel brake binding freed off & lubricated",0,0,0,134152,"06/09/2000 00:00:00",
"Maestro Van","Breakdown","Oil leak at front new crankshaft oil seal fitted genuine. Cambelt replaced genuine total parts £38.01",1,0,0,134790,"01/10/2000 00:00:00",38.0100
"Maestro Van","General","2.5 Lts anti freeze,battery from Cooks £33.99 Reciet No 463372, oil filter changed 1.83",1,0,0,135139,"22/10/2000 00:00:00",46.5800
"Maestro Van","Routine","1 Tyre Rear RHS",0,0,0,135640,"12/11/2000 00:00:00",15.0000
"Maestro Van","Breakdown","Exhaust Front pipe changed puncture in rear right exhaust reciet no 473254",0,0,0,136055,"19/11/2000 00:00:00",33.8200
"Maestro Van","Breakdown","LHS trackrod End Worn, RHS CV boot replaced Gearbox topped up with oil MOT passed A.E Cook Reciet No 478277",0,0,0,136481,"02/12/2000 00:00:00",12.8400
"Peugeot","Routine","Oil Filter",1,0,0,71127,"11/02/2001 00:00:00",2.0000
"Maestro Van","Breakdown","LHS wheel hub nut loose smasshed hub second hand hub obtained new wheel bearing fitted",0,0,0,139450,"10/04/2001 00:00:00",47.0000
"Peugeot","Routine","MotBrake cables renewed, front number plate, LHS front Cv boot, gearbox oil changed parts cost 32.40",0,0,0,72191,"23/04/2001 00:00:00",32.4000
"Maestro Van","Breakdown","2 Tyres At front retracked with laser",0,0,0,140627,"11/06/2001 00:00:00",64.0000
"Maestro Van","Routine","Exhaust rear box & pipe. A.E.Cook cash sale invoice 578708. Bosal pt no BOS282689",0,0,0,142392,"12/08/2001 00:00:00",27.4000
"Peugeot","Routine","Oil Change at Dads",1,0,0,74265,"26/08/2001 00:00:00",2.5500
"Maestro Van","Routine","Waxoiled & undersealed body panels section of welding in RHS sill. New window screen fitted Mark from scawby.",1,0,1,144817,"28/11/2001 00:00:00",90.0000
"Peugeot","Routine","Front exhaust section + intermediate pipe.
AE Cooke reciet N0 611729",0,0,0,77100,"01/11/2001 00:00:00",41.0900
"Maestro Van","Breakdown","Radiator changed A.E Cooke reciet No644313",0,0,0,146274,"27/01/2002 00:00:00",46.7200
"Maestro Van","Breakdown","Cylinder head taken off & skimmed",1,1,0,147177,"08/03/2002 00:00:00",50.0000
"Peugeot","Routine","Front brake Discs replaced new pads fitted
Reciet No684696
Reciet No683444",1,0,0,78755,"21/04/2002 00:00:00",56.5700
"Maestro Van","Breakdown","Rear brakes binding exhaust blowing. New LHS brake cable fitted also intermediate section to hand brake. New middle section ofexhaust fitted new rubber. AE Cook receit number 747284 addittion cable collected for hand brake.",0,0,0,151452,"07/09/2002 00:00:00",55.8700
"Peugeot","General","Oil Change",1,0,0,82349,"07/09/2002 00:00:00",3.6500
"Peugeot","Routine","Filters + Oil ME Autoparts",1,1,1,85742,"18/04/2003 00:00:00",12.0000
"Escort 55D","Breakdown","Front breaks running warm stripped down freed off pads copper slipped. Running cool at present.",0,0,0,56000,"16/10/2004 00:00:00",0.0000
"Escort 55D","Routine","Oil change and fuel filter",1,1,0,59072,"29/01/2005 00:00:00",6.8000
"Peugeot","Routine","CV Boot RHS changed tyred also changed",1,1,0,100592,"17/04/2005 00:00:00",18.5000
"Peugeot","Breakdown","MOT at Wrawby advised of potential problem with driveshaft strip downed broken spring found. Obtained replacement drive shaft from EVA bros. Swooped spring and gearbox end around. Two new gaitors fitted lower suspension ball joint.",0,0,0,100661,"24/04/2005 00:00:00",30.0000
"Peugeot","Routine","10-30 w oil",1,0,0,106280,"11/12/2005 00:00:00",9.2000
"Peugeot 205","Routine","Oil 10-30
Mudflaps
Wheel Trims",1,0,0,102492,"22/01/2006 00:00:00",10.9200
"Peugeot","Routine","Front Brake Discs & Pads
Rear handbrake cables
Brake calipiers freed off
Rear exhaust box Invoice No 627832
Mot",0,0,0,117250,"14/04/2007 00:00:00",98.3500
"Peugeot","General","Oil and filter change 2 new CV boots fitted split type",1,1,1,127179,"20/03/2008 00:00:00",40.0000
"Audi","Routine","Long life oil wiper blades fuel filter pollen filter Air filter
Parts from TPS Pictures taken",1,1,1,41974,"30/03/2008 00:00:00",88.0000
"Audi","Routine","Front Brake Disc and pads brake warning light on fluid replaced to front cylinders very clean. Rear pad to disc distance icludes 5.5 mm back plate 12.5 mm. New pads on front includes backplate 19.5. Parts from TPS front inner wings cleaned out and waxolyd.",0,0,0,42453,"26/04/2008 00:00:00",90.0000
"Peugeot","Breakdown","MOT failure rear brakes low small patch required front nearside inner wing.Two new rear wheel cylinders fitted and new shoes. Two patches welded in front inner wing body schulzt applied.",0,0,0,128120,"19/04/2008 00:00:00",55.0000
"Peugeot","General","Cambelt change rocker gasket repaired",0,0,0,129217,"11/06/2008 00:00:00",14.1500
"Audi","Routine","Camblet Kit, Water Pump, Auxillary Drive Belt & Air Conditioning Drive Belt. Anti freeze Audi G12 Changed waxoyl applied to exsposed parts.",0,0,0,48170,"19/02/2009 00:00:00",120.0000
